brand, product_name, shippping 
ASUS,ASUS Radeon RX 6700 XT DirectX 12 Ultimate RX6700XT-12G Video Card,$9.99 Shipping
Sapphire Tech,Sapphire AMD Radeon RX 6700 XT Gaming Graphics Card with 12GB GDDR6| AMD RDNA 2 (21306-01-20G),$9.99 Shipping
XFX,XFX Radeon RX 6700 XT Gaming Graphics Card with 12GB GDDR6 Memory| Powered by AMD RDNA 2| HDMI 2.1 (RX-67TMYDFD8),$9.99 Shipping
GIGABYTE,GIGABYTE Radeon RX 6700 XT 12G Graphics Card| 12GB 192-bit GDDR6| GV-R67XT-12GD-B Video Card,$9.99 Shipping
ASRock,ASRock Radeon RX 6700 XT Challenger D Gaming Graphic Card| 12GB GDDR6 VRAM| AMD RDNA2 (RX6700XT CLD 12G),$9.99 Shipping
MSI,MSI Radeon RX 6700 XT RX 6700 XT MECH 2X 12G OC Video Card,$9.99 Shipping
EVGA,EVGA GeForce RTX 3060 XC BLACK GAMING| 12G-P5-3655-KR| 12GB GDDR6| Dual-Fan,
GIGABYTE,GIGABYTE GeForce RTX 3060 EAGLE 12G Graphics Card| 2 x WINDFORCE Fans| 12GB 192-bit GDDR6| GV-N3060EAGLE-12GD Video Card,$9.99 Shipping
MSI,MSI GeForce RTX 3060 DirectX 12 Ultimate RTX 3060 VENTUS 2X 12G Video Card,$9.99 Shipping
GIGABYTE,GIGABYTE GeForce RTX 3060 GAMING OC 12G Graphics Card| 3 x WINDFORCE Fans| 12GB 192-bit GDDR6| GV-N3060GAMING OC-12GD Video Card,$9.99 Shipping
ASUS,ASUS Dual GeForce RTX 3060 DirectX 12 Ultimate DUAL-RTX3060-12G Video Card,
ASUS,ASUS GeForce RTX 3070 KO-RTX3070-O8G-GAMING Video Card,$8.99 Shipping
